Datum;Uur;lon;lat;Bever
20/09/2017;20:45:00;4,6271163;50,9922412;BE1002
23/09/2017;10:15:00;4,6269876;50,9925417;BE1002
23/09/2017;11:05:00;4,626714;50,9927375;BE1002
24/09/2017;22:40:00;4,6515727;50,9869229;BE1002
25/09/2017;10:15:00;4,6512938;50,9870445;BE1002
25/09/2017;18:50:00;4,65076;50,986256;BE1002
26/09/2017;22:30:00;4,6318531;50,9919474;BE1002
28/09/2017;23:05:00;4,652034;50,9870917;BE1002
30/09/2017;4:30:00;4,6268857;50,9922581;BE1002
30/09/2017;9:45:00;4,6271164;50,9925111;BE1002
01/10/2017;21:00:00;4,653461;50,9870985;BE1002
02/10/2017;17:50:00;4,6508646;50,9865953;BE1002
03/10/2017;23:20:00;4,6504891;50,9865717;BE1002
05/10/2017;13:20:00;4,650709;50,9864349;BE1002
08/10/2017;1:30:00;4,6518838;50,9870917;BE1002
07/10/2017;22:50:00;4,6545124;50,9875578;BE1002
08/10/2017;1:50:00;4,6551454;50,9879967;BE1002
08/10/2017;20:30:00;4,6406078;50,9876793;BE1002
08/10/2017;22:10:00;4,5991141;50,9970727;BE1002
08/10/2017;22:45:00;4,5877737;50,9987;BE1002
09/10/2017;11:00:00;4,650473;50,9863488;BE1002
11/10/2017;20:20:00;4,652851447;50,9869248;BE1002
12/10/2017;11:29:00;4,6518047;50,9870031;BE1002
12/10/2017;14:22:00;4,6507975;50,9865227;BE1002
12/10/2017;16:24:00;4,6504971;50,9866392;BE1002
13/10/2017;12:50:00;4,651739;50,9869921;BE1002
16/10/2017;22:00:00;4,652447775;50,98681231;BE1002
16/10/2017;22:30:00;4,646824189;50,98552105;BE1002
17/10/2017;22:20:00;4,649349153;50,98580894;BE1002
19/10/2017;0:23:00;4,6102452;50,9933655;BE1002
16/10/2017;13:15:00;4,651830196;50,98722197;BE1002
19/10/2017;4:10:00;4,6511073;50,9869761;BE1002
23/10/2017;14:35:00;4,650478698;50,98650142;BE1002
24/10/2017;19:00:00;4,653711766;50,9873123;BE1002
24/10/2017;23:50:00;4,6195793;50,9933048;BE1002
25/10/2017;0:29:00;4,6317458;50,9918124;BE1002
25/10/2017;5:15:00;4,6507533;50,9865869;BE1002
26/10/2017;15:25:00;4,650489762;50,98660906;BE1002
28/10/2017;22:00:00;4,656563289;50,98834138;BE1002
31/10/2017;22:42:00;4,6566153;50,9882095;BE1002
01/11/2017;3:37:00;4,6507426;50,986624;BE1002
07/11/2017;22:59:00;4,6386874;50,9911371;BE1002
08/11/2017;2:22:00;4,6521896;50,9869465;BE1002
08/11/2017;5:44:00;4,6487349;50,9866055;BE1002
08/11/2017;12:50:00;4,648656808;50,98640919;BE1002
12/11/2017;9:15:00;4,648828469;50,98656579;BE1002
16/11/2017;23:30:00;4,657121524;50,98847371;BE1002
22/11/2017;8:00:00;4,6086574;50,9922243;BE1002
22/11/2017;13:01:00;4,6087512;50,9922885;BE1002
24/11/2017;20:45:00;4,64054849;50,98712003;BE1002
30/11/2017;14:10:00;4,6087217;50,9922615;BE1002
01/12/2017;21:15:00;4,617210589;50,99271602;BE1002
03/12/2017;18:45:00;4,609973989;50,99307835;BE1002
07/12/2017;7:40:00;4,6087137;50,9922395;BE1002
07/12/2017;9:15:00;4,6086922;50,9922614;BE1002
08/12/2017;17:15:00;4,608338512;50,99213399;BE1002
12/12/2017;19:08:00;4,610583857;50,99308426;BE1002
13/12/2017;13:45:00;4,649107084;50,98644781;BE1002
13/12/2017;21:24:00;4,635914;50,9914511;BE1002
14/12/2017;1:33:00;4,6123052;50,9931191;BE1002
15/12/2017;12:29:00;4,6031923;50,9911227;BE1002
17/12/2017;12:00:00;4,60318096;50,99109549;BE1002
20/12/2017;12:22:00;4,6032031;50,9910847;BE1002
22/12/2017;16:55:00;4,648606516;50,9865698;BE1002
22/12/2017;21:15:00;4,604408406;50,99202426;BE1002
23/12/2017;12:20:00;4,603180289;50,99110246;BE1002
24/12/2017;11:30:00;4,603201412;50,99110921;BE1002
26/12/2017;15:40:00;4,603199065;50,99110372;BE1002
29/12/2017;20:15:00;4,61117059;50,99376165;BE1002
