Datum;Uur;lon;lat;Bever
12/02/2019;2:04:00;4,6590071;50,9892162;BE1019
12/02/2019;17:53:00;4,6453877;50,9856242;BE1019
12/02/2019;22:39:00;4,6567663;50,9883089;BE1019
12/02/2019;23:35:00;4,6638295;50,9888143;BE1019
14/02/2019;7:00:00;4,631934576;50,99177186;BE1019
14/02/2019;18:20:00;4,628592879;50,99117674;BE1019
15/02/2019;15:15:00;4,62784823;50,99124343;BE1019
17/02/2019;4:45:00;4,656716846;50,98828503;BE1019
19/02/2019;14:22:00;4,64534495;50,98547757;BE1019
20/02/2019;0:14:00;4,6885215;50,9781368;BE1019
28/02/2019;22:55:00;4,7911694;50,9803507;BE1019
