Datum;Uur;lon;lat;Bever
05/03/2018;12:54:00;4,5391023;51,0046482;BE1007
06/03/2018;0:40:00;4,518413767;51,01168831;BE1007
06/03/2018;10:12:00;4,5392525;51,0045942;BE1007
07/03/2018;21:40:00;4,5144806;51,0124245;BE1007
09/03/2018;16:30:00;4,5156259;51,0119959;BE1007
23/03/2018;6:10:00;4,506976828;51,01709847;BE1007
28/03/2018;23:40:00;4,5070177;51,0173387;BE1007
03/04/2018;10:50:00;4,5070338;51,0172071;BE1007
14/04/2018;0:35:00;4,5127171;51,0291756;BE1007
19/04/2018;22:30:00;4,5097053;51,0151755;BE1007
20/04/2018;1:50:00;4,5142543;51,0131067;BE1007
26/04/2018;18:44:00;4,5434944;51,0032633;BE1007
27/04/2018;0:24:00;4,5108533;51,0148211;BE1007
01/08/2018;8:30:00;4,5251146;51,0096961;BE1007
09/08/2018;8:50:00;4,5800757;50,9983295;BE1007
16/08/2018;7:20:00;4,5571593;50,9993522;BE1007
