Datum;Uur;lon;lat;Bever
14/03/2018;20:15:00;4,544897564;51,00215882;BE1009
19/03/2018;6:50:00;4,543607421;51,00349139;BE1009
23/03/2018;6:40:00;4,543597698;51,00348971;BE1009
28/03/2018;6:46:00;4,543732479;51,0032821;BE1009
28/03/2018;;4,538877;51,0045942;BE1009
29/03/2018;2:55:00;4,536978;51,0050398;BE1009
03/04/2018;11:35:00;4,5435977;51,0034897;BE1009
13/04/2018;23:35:00;4,554756694;51,00250547;BE1009
19/04/2018;22:54:00;4,525525;51,00961;BE1009
20/04/2018;1:18:00;4,5314097;51,0079089;BE1009
26/04/2018;10:45:00;4,54408586;51,00300656;BE1009
26/04/2018;18:14:00;4,5437801;51,0028996;BE1009
26/04/2018;23:42:00;4,5612037;51,0008674;BE1009
01/05/2018;9:30:00;4,550113119;51,00445894;BE1009
02/05/2018;15:26:00;4,5438284;51,0034465;BE1009
02/05/2018;20:20:00;4,5436138;51,0034633;BE1009
02/05/2018;21:45:00;4,5466232;51,002454;BE1009
05/05/2018;5:45:00;4,550126866;51,00441147;BE1009
07/05/2018;16:39:00;4,5437855;51,003411;BE1009
08/05/2018;22:40:00;4,5438981;51,0027916;BE1009
09/05/2018;0:27:00;4,5296288;51,0087055;BE1009
14/05/2018;13:00:00;4,5437325;51,0032821;BE1009
17/05/2018;4:28:00;4,5393813;51,0043714;BE1009
17/05/2018;12:50:00;4,5437385;51,0032633;BE1009
23/05/2018;3:48:00;4,5420152;51,0027983;BE1009
24/05/2018;4:18:00;4,5393384;51,0043444;BE1009
31/05/2018;4:06:00;4,5317262;51,0078515;BE1009
31/05/2018;12:46:00;4,5438069;51,0032473;BE1009
04/06/2018;23:37:00;4,5514941;51,00346;BE1009
05/06/2018;0:24:00;4,5517248;51,003568;BE1009
05/06/2018;3:21:00;4,5391613;51,0045503;BE1009
14/06/2018;10:23:00;4,5434113;51,0034768;BE1009
19/06/2018;6:45:00;4,543569535;51,00348739;BE1009
25/06/2018;14:30:00;4,543596692;51,00342135;BE1009
28/06/2018;5:12:00;4,5399982;51,0040541;BE1009
09/07/2018;6:10:00;4,544023164;51,00313484;BE1009
17/07/2018;6:50:00;4,54336971;51,00346734;BE1009
01/08/2018;9:40:00;4,5437533;51,0032625;BE1009
09/08/2018;8:00:00;4,5437452;51,0032372;BE1009
16/08/2018;6:40:00;4,543658718;51,00341607;BE1009
28/08/2018;10:38:00;4,5550776;51,0025536;BE1009
10/09/2018;10:31:00;4,5551374;51,0025502;BE1009
19/09/2018;8:30:00;4,5551824;51,0025336;BE1009
20/09/2018;22:33:00;4,5512206;51,0034772;BE1009
22/09/2018;19:41:00;4,555045;51,0025811;BE1009
25/09/2018;17:17:00;4,5522242;51,0034118;BE1009
25/09/2018;21:24:00;4,5620033;51,0010485;BE1009
25/09/2018;21:47:00;4,5534959;51,0029276;BE1009
28/09/2018;1:38:00;4,5639099;51,0012495;BE1009
28/09/2018;2:31:00;4,5663296;50,9997176;BE1009
28/09/2018;6:17:00;4,5602425;51,0008715;BE1009
02/10/2018;4:44:00;4,5440692;51,0027233;BE1009
02/10/2018;6:30:00;4,542159;51,0027102;BE1009
03/10/2018;1:29:00;4,5485808;51,0028939;BE1009
08/10/2018;14:14:00;4,5603221;51,0008767;BE1009
09/10/2018;18:40:00;4,543493763;51,0035165;BE1009
10/10/2018;22:03:00;4,567586;50,9993202;BE1009
11/10/2018;1:20:00;4,5561571;51,0021704;BE1009
17/10/2018;21:45:00;4,5608365;51,0007832;BE1009
18/10/2018;1:05:00;4,541784;51,0029406;BE1009
18/10/2018;8:20:00;4,539179765;51,00463827;BE1009
18/10/2018;14:37:00;4,5387328;51,0045579;BE1009
22/10/2018;21:18:00;4,5619217;51,0010555;BE1009
23/10/2018;0:06:00;4,5609609;51,0007219;BE1009
06/11/2018;22:17:00;4,5617416;51,0009998;BE1009
07/11/2018;0:54:00;4,565809;51,0005654;BE1009
14/11/2018;5:30:00;4,572323486;50,99811488;BE1009
14/11/2018;6:05:00;4,563286118;51,00116612;BE1009
20/11/2018;17:40:00;4,543519579;51,0033513;BE1009
22/11/2018;20:11:00;4,5429672;51,0032747;BE1009
29/11/2018;1:40:00;4,5627105;51,0010555;BE1009
29/11/2018;1:50:00;4,5552595;51,0024543;BE1009
29/11/2018;2:07:00;4,5518356;51,0034459;BE1009
04/12/2018;6:44:00;4,543737844;51,00333632;BE1009
10/12/2018;12:00:00;4,5437167;51,0032449;BE1009
