Datum;Uur;lon;lat;Bever
13/09/2017;21:30:00;4,588199;50,998567;BE1003
18/09/2017;20:47:00;4,584739432;50,99924438;BE1003
19/09/2017;15:00:00;4,5883021;50,9987439;BE1003
29/09/2017;22:50:00;4,5436299;51,0035376;BE1003
30/09/2017;10:35:00;4,5257047;51,009205;BE1003
05/10/2017;14:36:00;4,5832756;50,998911;BE1003
08/10/2017;23:10:00;4,5677805;50,9993617;BE1003
09/10/2017;12:30:00;4,5837718;50,9988283;BE1003
10/10/2017;17:50:00;4,583112;50,998835;BE1003
11/10/2017;21:45:00;4,575975314;50,99257146;BE1003
11/10/2017;21:55:00;4,576744437;50,9924746;BE1003
13/10/2017;11:18:00;4,5155337;51,0120537;BE1003
17/10/2017;21:20:00;4,568883888;50,98989088;BE1003
19/10/2017;3:25:00;4,5688802;50,990043;BE1003
24/10/2017;22:15:00;4,598310068;50,99860884;BE1003
25/10/2017;2:27:00;4,5509684;51,0035106;BE1003
25/10/2017;3:22:00;4,5517302;51,0030346;BE1003
26/10/2017;23:00:00;4,6338111;50,990742;BE1003
29/10/2017;17:00:00;4,549966939;51,00453595;BE1003
01/11/2017;2:10:00;4,550027;51,0044997;BE1003
01/11/2017;5:15:00;4,5499679;51,0044971;BE1003
03/11/2017;20:15:00;4,54834789;51,00373022;BE1003
08/11/2017;0:30:00;4,548533;51,0042499;BE1003
12/11/2017;10:20:00;4,548785426;51,00427813;BE1003
22/11/2017;11:11:00;4,5484766;51,004233;BE1003
24/11/2017;20:15:00;4,549442567;51,0045216;BE1003
30/11/2017;12:22:00;4,5689566;50,9899097;BE1003
30/11/2017;16:05:00;4,5690116;50,9899198;BE1003
14/12/2017;0:03:00;4,5483506;51,0041486;BE1003
15/12/2017;6:48:00;4,550027;51,0044878;BE1003
20/12/2017;11:10:00;4,5500712;51,0045351;BE1003
22/12/2017;20:05:00;4,548933618;51,00421484;BE1003
29/12/2017;19:40:00;4,549333937;51,00435155;BE1003
04/01/2018;12:40:00;4,5433322;51,0034921;BE1003
05/01/2018;18:20:00;4,543428719;51,00347789;BE1003
06/01/2018;15:40:00;4,543630891;51,0034857;BE1003
09/01/2018;15:30:00;4,543607421;51,00350215;BE1003
10/01/2018;20:15:00;4,552099295;51,00344624;BE1003
12/01/2018;22:25:00;4,5552928;51,00254872;BE1003
18/01/2018;17:30:00;4,543621168;51,00349983;BE1003
18/01/2018;23:55:00;4,550475553;51,00441189;BE1003
23/01/2018;14:13:00;4,5499317;51,0044541;BE1003
24/01/2018;21:07:00;4,550557695;51,00435746;BE1003
25/01/2018;;4,549944811;51,00452033;BE1003
27/01/2018;14:00:00;4,550050423;51,00444902;BE1003
27/01/2018;23:20:00;4,550755508;51,00434269;BE1003
31/01/2018;11:08:00;4,5499867;51,0044237;BE1003
07/02/2018;13:15:00;4,5499894;51,0044895;BE1003
07/02/2018;18:00:00;4,5500055;51,0044769;BE1003
07/02/2018;18:50:00;4,5484096;51,0033722;BE1003
07/02/2018;19:30:00;4,5482808;51,0040237;BE1003
07/02/2018;22:10:00;4,5500504;51,004449;BE1003
08/02/2018;2:54:00;4,550381;51,0043967;BE1003
14/02/2018;23:30:00;4,5500504;51,004449;BE1003
15/02/2018;0:32:00;4,5491901;51,0042701;BE1003
15/02/2018;1:20:00;4,5363235;51,0056541;BE1003
15/02/2018;1:51:00;4,5374179;51,005222;BE1003
15/02/2018;2:40:00;4,5372275;51,0047866;BE1003
15/02/2018;3:10:00;4,5418918;51,0028017;BE1003
15/02/2018;3:47:00;4,5500484;51,0044271;BE1003
18/02/2018;1:09:00;4,538246691;51,00495578;BE1003
20/02/2018;2:33:00;4,538147785;51,00487055;BE1003
21/02/2018;20:00:00;4,548431;51,0035714;BE1003
28/02/2018;1:20:00;4,551070333;51,00445219;BE1003
03/03/2018;12:20:00;4,550040364;51,00440577;BE1003
06/03/2018;0:15:00;4,534222372;51,00679734;BE1003
07/03/2018;21:25:00;4,531792626;51,00768823;BE1003
09/03/2018;16:50:00;4,543675818;51,00345848;BE1003
11/03/2018;7:10:00;4,543590322;51,00349857;BE1003
13/03/2018;0:20:00;4,528710432;51,00875083;BE1003
14/03/2018;20:30:00;4,534774907;51,0059252;BE1003
19/03/2018;6:50:00;4,543607756;51,00349203;BE1003
23/03/2018;6:40:00;4,543622509;51,00349076;BE1003
28/03/2018;6:51:00;4,539763816;51,00410176;BE1003
28/03/2018;23:18:00;4,5392203;51,0043916;BE1003
29/03/2018;2:44:00;4,5488441;51,0029198;BE1003
03/04/2018;11:15:00;4,5439517;51,0032574;BE1003
13/04/2018;23:50:00;4,549388252;51,00303356;BE1003
19/04/2018;23:03:00;4,5334294;51,0068018;BE1003
26/04/2018;10:45:00;4,544106647;51,00299917;BE1003
27/04/2018;0:16:00;4,5254177;51,0097518;BE1003
01/05/2018;9:30:00;4,550097026;51,0044602;BE1003
26/04/2018;18:16:00;4,5438069;51,0029038;BE1003
02/05/2018;15:40:00;4,5501396;51,0044355;BE1003
02/05/2018;20:17:00;4,5491338;51,0042532;BE1003
02/05/2018;21:50:00;4,5482969;51,0031899;BE1003
05/05/2018;5:45:00;4,550119489;51,00440493;BE1003
07/05/2018;16:36:00;4,5437238;51,0034481;BE1003
09/05/2018;0:32:00;4,5338881;51,0070347;BE1003
14/05/2018;12:58:00;4,5437533;51,0032625;BE1003
17/05/2018;4:20:00;4,5354974;51,0059444;BE1003
17/05/2018;12:48:00;4,5437104;51,0032642;BE1003
23/05/2018;3:53:00;4,544059;51,0023865;BE1003
24/05/2018;4:14:00;4,5325953;51,0070988;BE1003
08/05/2018;22:45:00;4,54422;51,0029131;BE1003
31/05/2018;4:12:00;4,5396602;51,0042769;BE1003
31/05/2018;12:44:00;4,5437533;51,0032625;BE1003
05/06/2018;0:29:00;4,5544446;51,0027342;BE1003
05/06/2018;3:25:00;4,5351648;51,0059646;BE1003
04/06/2018;22:40:00;4,550786;51,0033857;BE1003
14/06/2018;10:20:00;4,5433322;51,0034921;BE1003
19/06/2018;6:49:00;4,542437308;51,00292976;BE1003
25/06/2018;14:30:00;4,543515556;51,00344076;BE1003
27/06/2018;5:06:00;4,5304602;51,0082599;BE1003
09/07/2018;6:15:00;4,541209191;51,00331164;BE1003
09/07/2018;6:35:00;4,542120472;51,00256075;BE1003
17/07/2018;6:05:00;4,5477471;51,0027673;BE1003
01/08/2018;9:00:00;4,5400438;51,0040288;BE1003
23/09/2018;;4,5582366;51,0017192;BE1003
25/09/2018;17:13:00;4,5510856;51,0035251;BE1003
25/09/2018;21:26:00;4,5609988;51,0008169;BE1003
28/09/2018;1:57:00;4,526169;51,0088657;BE1003
28/09/2018;2:18:00;4,5281738;51,008832;BE1003
28/09/2018;6:30:00;4,5438705;51,0028749;BE1003
02/10/2018;4:45:00;4,5473716;51,0026266;BE1003
02/10/2018;6:28:00;4,5425715;51,0026585;BE1003
03/10/2018;0:57:00;4,5585702;51,001542;BE1003
08/10/2018;14:38:00;4,5438961;51,0031714;BE1003
09/10/2018;18:40:00;4,54352729;51,00344435;BE1003
10/10/2018;22:00:00;4,5659122;51,0005487;BE1003
11/10/2018;1:16:00;4,5570775;51,0019101;BE1003
17/10/2018;21:39:00;4,5433464;51,0025278;BE1003
18/10/2018;0:54:00;4,5586948;51,0013267;BE1003
18/10/2018;8:10:00;4,555028602;51,00258755;BE1003
18/10/2018;14:55:00;4,5550446;51,0025659;BE1003
22/10/2018;21:22:00;4,5653623;51,0009773;BE1003
23/10/2018;0:08:00;4,553854;51,0028337;BE1003
06/11/2018;17:50:00;4,543639943;51,00342578;BE1003
06/11/2018;22:20:00;4,5662093;50,9999674;BE1003
07/11/2018;0:50:00;4,5795832;50,9982712;BE1003
14/11/2018;5:50:00;4,543735161;51,0032802;BE1003
20/11/2018;17:40:00;4,543457888;51,00353401;BE1003
22/11/2018;20:07:00;4,5432533;51,0033467;BE1003
29/11/2018;1:59:00;4,5404494;51,0037179;BE1003
29/11/2018;2:03:00;4,5435566;51,0024347;BE1003
04/12/2018;6:50:00;4,537889287;51,00491802;BE1003
10/12/2018;12:00:00;4,5437286;51,0032384;BE1003
16/01/2019;10:48:00;4,5437095;51,0034274;BE1003
19/01/2019;20:32:00;4,543968;51,0030363;BE1003
20/01/2019;1:15:00;4,5511534;51,0034235;BE1003
21/01/2019;20:38:00;4,544034;51,0029371;BE1003
22/01/2019;0:05:00;4,5391806;51,0044712;BE1003
22/01/2019;0:15:00;4,5390886;51,0045609;BE1003
24/01/2019;20:35:00;4,5379863;51,0048907;BE1003
04/02/2019;16:48:00;4,5436792;51,0033719;BE1003
05/02/2019;3:06:00;4,5644664;51,001205;BE1003
05/02/2019;6:24:00;4,5484141;51,0035086;BE1003
08/02/2019;0:58:00;4,5578301;51,0016816;BE1003
08/02/2019;1:30:00;4,5562897;51,0020813;BE1003
09/02/2019;16:50:00;4,543661401;51,00351882;BE1003
12/02/2019;1:25:00;4,562947154;51,00121507;BE1003
12/02/2019;17:16:00;4,5436792;51,0033719;BE1003
13/02/2019;0:40:00;4,5654967;51,0007135;BE1003
15/02/2019;14:42:00;4,543596022;51,00339097;BE1003
18/02/2019;10:40:00;4,543922581;51,00320277;BE1003
20/02/2019;1:27:00;4,5823139;50,9983542;BE1003
22/02/2019;3:37:00;4,564141072;51,00120537;BE1003
05/03/2019;22:06:00;4,5574618;51,0018182;BE1003
20/04/2018;1:28:00;4,5255035;51,0097856;BE1003
09/05/2019;23:49:00;4,570767805;50,99850208;BE1003
10/05/2019;0:13:00;4,566587582;50,99962038;BE1003
10/05/2019;2:26:00;4,5284285;51,0087588;BE1003
17/05/2019;0:27:00;4,542760514;51,00310002;BE1003
17/05/2019;1:36:00;4,562082477;51,00111464;BE1003
03/07/2019;4:53:00;4,544070438;51,00289959;BE1003
