Datum;Uur;lon;lat;Bever
23/09/2018;5:30:00;4,748808;50,974638;BE1012
25/09/2018;19:14:00;4,764948;50,976632;BE1012
27/09/2018;22:30:00;4,762575;50,976718;BE1012
28/08/2018;4:49:00;4,750075;50,975443;BE1012
28/09/2018;5:28:00;4,753893;50,974377;BE1012
02/10/2018;19:10:00;4,751638;50,973868;BE1012
08/10/2018;11:55:00;4,751508;50,973973;BE1012
10/10/2018;23:40:00;4,763634;50,976828;BE1012
17/10/2018;22:45:00;4,754711;50,975267;BE1012
17/10/2018;23:37:00;4,749937;50,975446;BE1012
22/10/2018;22:44:00;4,751936;50,975983;BE1012
22/10/2018;23:07:00;4,74277;50,972511;BE1012
23/10/2018;5:25:00;4,747897;50,974458;BE1012
06/11/2018;23:39:00;4,751249;50,974594;BE1012
08/11/2108;5:45:00;4,751347;50,974437;BE1012
20/11/2018;5:35:00;4,752334;50,973999;BE1012
22/11/2018;19:14:00;4,753532;50,974212;BE1012
29/11/2018;3:45:00;4,750744;50,974681;BE1012
10/12/2018;14:02:00;4,751487;50,974058;BE1012
17/01/2019;13:30:00;4,751587;50,974001;BE1012
19/01/2019;22:37:00;4,749792;50,975391;BE1012
21/01/2019;22:56:00;4,749744;50,9742;BE1012
25/01/2019;0:37:00;4,750597;50,974508;BE1012
05/02/2019;1:59:00;4,749108;50,974291;BE1012
06/02/2019;4:21:00;4,753821;50,976133;BE1012
07/02/2019;23:37:00;4,76195;50,97675;BE1012
12/02/2019;2:40:00;4,7545282;50,9756534;BE1012
12/02/2019;3:08:00;4,7513905;50,9758659;BE1012
12/02/2019;20:44:00;4,7544385;50,974869;BE1012
13/02/2019;16:05:00;4,750442617;50,97457134;BE1012
19/02/2019;11:09:00;4,751525559;50,97401992;BE1012
19/02/2019;22:15:00;4,7545227;50,9755477;BE1012
28/02/2019;22:29:00;4,749600738;50,97423588;BE1012
13/03/2019;21:40:00;4,750365838;50,97538327;BE1012
21/03/2019;21:38:00;4,752846882;50,9740064;BE1012
28/03/2019;22:20:00;4,770698994;50,97839104;BE1012
28/03/2019;23:22:00;4,78303045;50,97978108;BE1012
09/04/2019;21:47:00;4,7544968;50,9754846;BE1012
15/04/2019;22:48:00;4,7542968;50,9761979;BE1012
16/04/2019;1:21:00;4,7850968;50,9801252;BE1012
25/04/2019;21:53:00;4,750787951;50,97458232;BE1012
25/04/2019;0:14:00;4,754015654;50,97459646;BE1012
30/04/2019;23:17:00;4,751493037;50,97422132;BE1012
01/05/2019;1:53:00;4,796581306;50,98034172;BE1012
01/05/2019;2:03:00;4,781500921;50,97932111;BE1012
09/05/2019;22:50:00;4,751704261;50,97383878;BE1012
16/05/2019;23:20:00;4,759237915;50,97652957;BE1012
18/07/2019;6:25:00;4,754607752;50,97512635;BE1012
06/08/2019;23:10:00;4,7547696;50,975539;BE1012
02/10/2019;22:34:00;4,762303;50,9767129;BE1012
