Datum;Uur;lon;lat;Bever
20/02/2018;20:30:00;4,6033094;50,9913627;BE1006
21/02/2018;22:37:00;4,6400446;50,9889861;BE1006
22/02/2018;0:29:00;4,6400392;50,989442;BE1006
22/02/2018;2:05:00;4,6401787;50,9885978;BE1006
27/02/2018;13:40:00;4,6246353;50,9928861;BE1006
28/02/2018;0:20:00;4,640016742;50,98877361;BE1006
28/02/2018;2:10:00;4,640504234;50,98731863;BE1006
28/02/2018;19:10:00;4,622413069;50,99299035;BE1006
03/03/2018;11:10:00;4,622770473;50,99305155;BE1006
05/03/2018;12:02:00;4,6261346;50,9928523;BE1006
05/03/2018;22:37:00;4,613471255;50,99292726;BE1006
06/03/2018;1:15:00;4,600390792;50,99477456;BE1006
07/03/2018;20:00:00;4,626798481;50,99250499;BE1006
08/03/2018;17:40:00;4,627037197;50,99244843;BE1006
09/03/2018;18:17:00;4,62685816;50,99252925;BE1006
14/03/2018;6:55:00;4,601934738;50,99195293;BE1006
24/03/2018;12:05:00;4,640025124;50,98978008;BE1006
03/04/2018;14:12:00;4,6260595;50,9931967;BE1006
