Datum;Uur;lon;lat;Bever
21/09/2018;6:00:00;4,759742;50,976352;BE1014
21/09/2018;6:30:00;4,760337;50,976743;BE1014
22/09/2018;18:33:00;4,7929162;50,9796205;BE1014
25/09/2018;19:11:00;4,764877;50,976588;BE1014
27/09/2018;22:42:00;4,775055;50,978653;BE1014
28/09/2018;4:56:00;4,769534;50,978522;BE1014
02/10/2018;19:10:00;4,751552;50,974023;BE1014
08/10/2018;11:56:00;4,751518;50,974063;BE1014
10/10/2018;23:35:00;4,756129;50,976099;BE1014
10/10/2018;23:49:00;4,750468;50,97558;BE1014
16/10/2018;5:45:00;4,76387;50,976691;BE1014
17/10/2018;22:55:00;4,784092;50,979972;BE1014
17/10/2018;23:28:00;4,769171;50,978528;BE1014
22/10/2018;22:42:00;4,752541;50,976049;BE1014
22/10/2018;23:08:00;4,743869;50,972687;BE1014
23/10/2018;5:40:00;4,748255;50,974573;BE1014
23/10/2018;5:50:00;4,750428;50,975536;BE1014
06/11/2018;23:10:00;4,754478;50,97614;BE1014
06/11/2018;23:35:00;4,754198;50,976178;BE1014
08/11/2018;5:45:00;4,75146;50,974353;BE1014
14/11/2018;7:15:00;4,751502;50,9743;BE1014
20/11/2018;5:30:00;4,751401;50,974474;BE1014
