Datum;Uur;lon;lat;Bever
12/02/2019;3:00:00;4,7905929;50,980093;BE1020
12/02/2019;21:46:00;4,7930062;50,9781032;BE1020
19/02/2019;22:41:00;4,7985163;50,979399;BE1020
19/02/2019;23:15:00;4,7971647;50,9799015;BE1020
22/02/2019;0:04:00;4,796374105;50,98029824;BE1020
13/03/2019;23:09:00;4,797869772;50,97920776;BE1020
21/03/2019;22:55:00;4,800551981;50,97508096;BE1020
09/04/2019;22:13:00;4,8018213;50,983904;BE1020
15/04/2019;23:02:00;4,8037637;50,985473;BE1020
16/04/2019;1:13:00;4,8065092;50,986072;BE1020
25/04/2019;22:25:00;4,800507389;50,98269189;BE1020
25/04/2019;22:49:00;4,800740071;50,98288376;BE1020
26/04/2019;0:21:00;4,809331521;50,98699107;BE1020
26/04/2019;1:12:00;4,803358912;50,98531822;BE1020
30/04/2019;23:50:00;4,800034314;50,98099102;BE1020
09/05/2019;22:29:00;4,814165868;50,98803768;BE1020
16/05/2019;22:39:00;4,808848724;50,98703434;BE1020
03/07/2019;6:20:00;4,80296731;50,98481589;BE1020
18/07/2019;6:00:00;4,803352542;50,98518483;BE1020
06/08/2019;22:42:00;4,794637;50,9791274;BE1020
