Datum;Uur;lon;lat;Bever
02/10/2018;18:11:00;4,5987245;50,9971333;BE1015
03/10/2018;0:37:00;4,600449;50,9948445;BE1015
03/10/2018;3:55:00;4,5988062;50,9974042;BE1015
09/10/2018;9:15:00;4,599194191;50,99656798;BE1015
02/10/2018;6:13:00;4,5991461;50,9961917;BE1015
10/10/2018;22:11:00;4,5893594;50,9992113;BE1015
11/10/2018;1:00:00;4,5986635;50,9978862;BE1015
17/10/2018;8:25:00;4,59766265;50,99906798;BE1015
17/10/2018;21:57:00;4,5977283;50,9993901;BE1015
18/10/2018;0:24:00;4,5978992;50,9990954;BE1015
18/10/2018;7:50:00;4,597667679;50,99912263;BE1015
18/10/2018;16:00:00;4,5978584;50,9993198;BE1015
22/10/2018;21:34:00;4,5979679;50,9992778;BE1015
06/11/2018;22:30:00;4,5977283;50,9993901;BE1015
06/02/2019;5:27:00;4,6032496;50,9916137;BE1015
08/02/2019;0:41:00;4,6032762;50,9917366;BE1015
08/02/2019;2:24:00;4,6140373;50,9927519;BE1015
09/02/2019;17:35:00;4,603430741;50,99118751;BE1015
12/02/2019;1:44:00;4,6024061;50,9919319;BE1015
13/02/2019;0:00:00;4,628414;50,9922906;BE1015
13/02/2019;19:15:00;4,6031931;50,9917375;BE1015
14/02/2019;7:15:00;4,603292271;50,99145721;BE1015
10/01/2019;1:06:00;4,6149454;50,9922114;BE1015
01/03/2019;1:03:00;4,603325799;50,9914532;BE1015
05/04/2019;3:59:00;4,603248686;50,99089353;BE1015
09/04/2019;23:15:00;4,6044283;50,9919319;BE1015
01/05/2019;3:25:00;4,603297301;50,99143357;BE1015
17/05/2019;0:13:00;4,603404924;50,99120903;BE1015
17/05/2019;1:50:00;4,601154216;50,99404189;BE1015
03/07/2019;4:03:00;4,603293277;50,99099166;BE1015
18/07/2019;4:20:00;4,638128802;50,99121832;BE1015
07/08/2019;0:15:00;4,6031738;50,9919292;BE1015
13/08/2019;17:28:00;4,627017751;50,99264891;BE1015
03/10/2019;0:37:00;4,6336182;50,9922753;BE1015
