Datum;Uur;lon;lat;Bever
04/06/2018;1:05:00;4,6584713;50,9887903;BE1011
07/06/2018;5:46:00;4,6887159;50,9778314;BE1011
09/08/2018;14:06:00;4,7038114;50,9550274;BE1011
20/08/2018;6:40:00;4,712679796;50,93167201;BE1011
22/08/2018;6:35:00;4,71158579;50,93322868;BE1011
28/08/2018;16:11:00;4,7124588;50,9314075;BE1011
21/09/2018;2:40:00;4,7125653;50,9313555;BE1011
27/09/2018;23:55:00;4,7115739;50,9342579;BE1011
03/10/2018;4:52:00;4,7117636;50,937131;BE1011
11/10/2018;0:16:00;4,7124305;50,9311578;BE1011
18/10/2018;17:12:00;4,7128658;50,9318272;BE1011
07/11/2018;0:05:00;4,7071874;50,9416349;BE1011
08/11/2018;6:25:00;4,713369459;50,93215294;BE1011
22/11/2018;18:47:00;4,7128698;50,931679;BE1011
10/12/2018;14:38:00;4,712818;50,9318358;BE1011
17/01/2019;14:48:00;4,7133441;50,9324664;BE1011
19/01/2019;23:15:00;4,7074594;50,9414542;BE1011
06/02/2019;3:35:00;4,7022583;50,944569;BE1011
09/02/2019;10:30:00;4,713327214;50,9322886;BE1011
12/02/2019;22:15:00;4,7073736;50,9413319;BE1011
22/03/2019;0:10:00;4,707697928;50,92567178;BE1011
18/07/2019;6:50:00;4,711887538;50,93265183;BE1011
