WKT,name,Datum,description,Type,Status
"POINT (3.9814499 51.1062014)",Point 189,1647817200000000,Knaagspoor,Knaagspoor,Actief
"POINT (3.9927119 51.1505278)",Point 190,1647903600000000,Knaagspoor,Knaagspoor,Actief
"POINT (3.9794412 51.117045)",Point 191,1648235400000000,Zwemmende bever ongemerkt,Waarneming,Actief
"POINT (3.9803776 51.1177107)",Point 192,1648236000000000,2 zwemmende bevers,Waarneming,Actief
"POINT (3.9774093 51.1165965)",Point 193,1648162800000000,Bever al zwemmend niet gemerkt,Waarneming,Actief
"POINT (3.9792317 51.1222069)",Point 194,1648505700000000,2 grote plonzen zwemmende bevers,Waarneming,Actief
"POINT (3.9809971 51.1181153)",Point 195,1648507500000000,Zwemmende bever geen zender,Waarneming,Actief
"POINT (3.9795334 51.1173558)",Point 196,1648506900000000,Zwemmende bever geen zender,Waarneming,Actief
"POINT (3.9771772 51.1248516)",Point 197,1648512000000000,Zwemmende bever,Waarneming,Actief
"POINT (3.9775839 51.1171098)",Point 198,1648520400000000,Grote plons zwemmende bever geen zender,Waarneming,Actief
"POINT (3.9776481 51.1176001)",Point 199,1648521900000000,Zwemmende bever,Waarneming,Actief
"POINT (3.9775739 51.1170421)",Point 200,1648523400000000,Bever knagende op stok onder brug,Waarneming,Actief
"POINT (3.9775189 51.1160698)",Point 201,1648524000000000,Zwemmende bever,Waarneming,Actief
"POINT (3.9794159 51.1172142)",Point 202,1648669800000000,Zwemmende bever niet gemerkt,Waarneming,Actief
"POINT (3.9807609 51.1177859)",Point 203,1648670400000000,Zwemmende bever ongemerkt,Waarneming,Actief
"POINT (3.9798804 51.1190983)",Point 204,1648629000000000,Zwemmende bever geen tag,Waarneming,Actief
"POINT (3.9807627 51.1207787)",Point 205,1648675500000000,2 zwemmende bevers grote plons niet gezenderd,Waarneming,Actief
"POINT (3.977495 51.1272606)",Point 206,1648677600000000,Burcht,Burcht,Actief
"POINT (3.977861 51.126471)",Point 207,1648683600000000,Zwemmende bever niet gemerkt,Waarneming,Actief
"POINT (3.9809603 51.1178912)",Point 208,1648686600000000,Zwemmende bever niet gemerkt plons,Waarneming,Actief
"POINT (3.9794793 51.1172974)",Point 209,1648687800000000,2 zwemmende bevers ongemerkt,Waarneming,Actief
"POINT (3.9808541 51.1401969)",Point 210,1649714400000000,Losse receiver niet gevonden,Waarneming,Mortality
"POINT (3.9794437 51.1173211)",Point 212,1650574200000000,Zwemmende bever geen zender,Waarneming,Actief
"POINT (3.9800437 51.1194239)",Point 212,1650618000000000,Zender gevonden nr 104,Waarneming,Mortality
"POINT (3.9781057 51.1150175)",Point 214,1651001400000000,Zwemmende bever,Waarneming,Actief
"POINT (3.9795057 51.1171208)",Point 214,1651431600000000,Bever ongemerkt zit aan rivieroever tak te eten en zich te verzorgen,Waarneming,Actief
"POINT (3.9807701 51.1185334)",Point 215,1651432200000000,Bever komt aangezwommen en gaat op de dijk zitten om zich te kuisen,Waarneming,Actief
"POINT (3.977925 51.1154304)",Point 216,1651434000000000,Zwemmende bever van rechts naar links ongezenderd,Waarneming,Actief
"POINT (3.9780277 51.1147638)",Point 217,1651775400000000,Zwemmende bever,Waarneming,Actief
"POINT (3.979085 51.1162127)",Point 218,1651776900000000,Zwemmende bever,Waarneming,Actief
"POINT (3.9790889 51.115026)",Point 219,1651777200000000,Grote plons,Waarneming ,Actief
"POINT (3.9777834 51.1149737)",Point 220,1651777500000000,Geknaag aan voet van boom, bever niet zichtbaar, mogelijks dagrustplaats,Waarneming ,Actief 
